Salary,amount (in bottles),Nationality_Cambodian,Nationality_Chinese,Nationality_Indonesian,Nationality_Malaysian,Nationality_Singaporean,Nationality_Thai,Nationality_Vietnamese,Age_18-24,Age_25-34,Age_35-44,Age_45-54,Age_55-64,Age_65+,Tenure_0-2,Tenure_3-5,Tenure_6-10,Tenure_11-15,Tenure_15+
1010,40.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1010,4.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1010,35.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1010,8.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1010,30.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1414,65.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,35.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,19.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,84.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,33.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,85.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,26.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,48.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,38.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,32.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,60.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,39.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,44.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,30.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,43.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,64.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,8.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,36.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,62.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,11.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,292.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,21.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,25.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,22.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,9.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,29.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,49.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,126.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,52.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,14.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,68.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,15.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,41.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,34.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,40.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,28.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,55.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,78.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,80.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,57.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,47.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,17.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,56.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,83.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,24.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,86.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,61.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,13.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,72.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,71.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,74.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,42.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,58.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,31.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,53.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,90.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,59.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,45.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,20.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,12.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1414,81.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1010,24.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1010,7.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1010,20.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1010,4.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1010,36.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1010,6.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1010,3.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1010,2.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1010,28.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1010,40.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1010,48.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1010,32.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1010,5.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1010,12.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1010,30.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1010,60.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1010,34.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1010,18.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1010,22.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1010,35.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1010,65.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1010,26.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1010,25.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1010,8.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1010,45.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1010,15.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1010,1.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1010,38.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
